Label	phylum	class	order	family	genus	species
u100164	.	.	.	.	.	.
u10019	Pisuviricota	.	.	.	.	.
u100402	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Picobirnavirus	Picobirnavirus sp.
u100562	.	.	.	.	.	.
u100587	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u10062	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus B_Picornaviridae sp.
u100645	.	.	.	.	.	.
u100658	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	Leviviridae sp.
u100674	Pisuviricota	.	.	.	.	Basavirus sp.
u100770	Kitrinoviricota	.	.	.	.	.
u100885	Pisuviricota	.	.	.	.	.
u100928	Pisuviricota	Pisoniviricetes	.	.	.	.
u100937	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales_Wolframvirales	Mitoviridae	Mitovirus	Hymenoscyphus fraxineus mitovirus 1_Mitovirus sp._Fusarium circinatum mitovirus 1
u101066	Pisuviricota	.	.	.	.	.
u101073	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales	Mitoviridae	Mitovirus	Mitovirus sp.
u101089	Kitrinoviricota	Alsuviricetes	Martellivirales	.	.	.
u101189	Pisuviricota	.	.	.	.	.
u10120	Pisuviricota	Pisoniviricetes	.	.	.	.
u101214	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	.	.
u101237	Kitrinoviricota	.	.	.	.	.
u101242	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u10130	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Salovirus	Nordland virus
u101339	.	.	.	.	.	.
u10154	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	.	.
u101619	Pisuviricota	Duplopiviricetes	.	.	.	.
u101671	Kitrinoviricota	.	.	.	.	.
u101957	.	.	.	.	.	.
u102290	.	.	.	.	.	.
u102337	Pisuviricota	Pisoniviricetes	.	.	.	.
u102371	Pisuviricota	Duplopiviricetes	.	.	.	.
